,lng,lat,count
350,106.5428,26.3806,68
351,106.6853,26.7484,66
352,106.5073,26.3544,66
353,106.6571,26.7244,66
354,106.5602,26.399,66
355,106.538,26.3789,65
356,106.4828,26.5459,65
357,106.5562,26.3954,64
358,106.5535,26.4445,64
359,106.6472,26.6952,64
360,106.5111,26.339,64
361,106.5413,26.391,64
362,106.4826,26.5457,63
363,106.6088,26.4725,63
364,106.6227,26.4037,63
365,106.646,26.6231,63
366,106.5045,26.3524,63
367,106.6509,26.6264,63
368,106.557,26.3957,62
369,106.5559,26.3958,62
370,106.6152,26.3743,62
371,106.533,26.3803,62
372,106.6228,26.4037,62
373,106.505,26.3538,62
374,106.5572,26.3956,61
375,106.5074,26.3543,61
376,106.4929,26.4424,61
377,106.6498,26.6176,61
378,106.5379,26.3789,60
379,106.5379,26.3788,60
380,106.5371,26.379,60
381,106.4828,26.5458,60
382,106.6334,26.3677,60
383,106.5424,26.41,60
384,106.5603,26.399,60
385,106.611,26.6217,59
386,106.6667,26.4121,59
387,106.4928,26.4424,59
388,106.4827,26.5461,59
389,106.5076,26.3543,59
390,106.5467,26.3922,58
391,106.5063,26.5015,58
392,106.4821,26.5456,58
393,106.5429,26.3803,58
394,106.6652,26.4389,58
395,106.6812,26.3399,58
396,106.6867,26.3377,57
397,106.6458,26.6236,57
398,106.6453,26.6234,57
399,106.654,26.4126,57
400,106.558,26.3952,56
401,106.5565,26.3961,56
402,106.6285,26.3942,56
403,106.6678,26.6245,55
404,106.7422,26.5855,55
405,106.5576,26.3954,54
406,106.5562,26.3958,54
407,106.6754,26.5782,54
408,106.5413,26.3911,53
409,106.6995,26.5646,53
410,106.5429,26.3807,53
411,106.4821,26.5458,53
412,106.5563,26.3958,53
413,106.6819,26.566,53
414,106.5653,26.4199,53
415,106.5424,26.4101,52
416,106.5566,26.3961,52
417,106.6544,26.4129,52
418,106.5535,26.4444,52
419,106.672,26.4401,51
420,106.6255,26.6891,51
421,106.5155,26.3972,51
422,106.5116,26.398,51
423,106.6541,26.413,51
424,106.6434,26.625,51
425,106.6228,26.403,51
426,106.4788,26.3587,50
427,106.6332,26.3665,50
428,106.4802,26.358,50
429,106.4754,26.3622,50
430,106.5074,26.3541,50
431,106.5667,26.4108,50
432,106.5503,26.4035,50
433,106.5583,26.3947,50
434,106.6713,26.4298,50
435,106.6666,26.4685,49
436,106.6865,26.3375,49
437,106.5424,26.3804,49
438,106.6435,26.625,49
439,106.6504,26.6186,49
440,106.6226,26.4038,49
441,106.482,26.5464,48
442,106.6225,26.4037,48
443,106.6256,26.689,48
444,106.6334,26.368,48
445,106.5175,26.3558,48
446,106.5462,26.3923,48
447,106.6304,26.4783,48
448,106.541,26.3802,47
449,106.6254,26.6891,47
450,106.5571,26.3957,47
451,106.523,26.3859,47
452,106.5925,26.3881,47
453,106.5426,26.41,47
454,106.557,26.3958,47
455,106.6687,26.6201,47
456,106.6143,26.4078,47
457,106.4758,26.3627,47
458,106.5406,26.3813,47
459,106.4823,26.5465,47
460,106.6473,26.6264,46
461,106.4826,26.5463,46
462,106.6871,26.3378,46
463,106.4756,26.3623,46
464,106.6543,26.4129,46
465,106.6528,26.6489,46
466,106.5929,26.3877,46
467,106.6226,26.4031,46
468,106.6712,26.4299,46
469,106.674,26.5128,46
470,106.5377,26.3794,46
471,106.5406,26.381,45
472,106.6068,26.4688,45
473,106.6568,26.7244,45
474,106.6103,26.3997,45
475,106.6148,26.3745,45
476,106.6538,26.4128,45
477,106.6734,26.5117,44
478,106.6732,26.5114,44
479,106.6087,26.4725,44
480,106.6784,26.5781,44
481,106.6386,26.6071,44
482,106.6334,26.3676,44
483,106.6722,26.435,44
484,106.5041,26.3531,44
485,106.5573,26.3955,43
486,106.6457,26.6236,43
487,106.5405,26.3813,43
488,106.6876,26.3356,43
489,106.5894,26.3661,43
490,106.5564,26.3912,43
491,106.672,26.4399,43
492,106.6649,26.368,42
493,106.6654,26.4153,42
494,106.6534,26.4174,42
495,106.4824,26.5465,42
496,106.6505,26.6186,42
497,106.6739,26.5128,42
498,106.6471,26.6264,42
499,106.5591,26.3827,42
500,106.5563,26.3953,42
501,106.5379,26.379,42
502,106.5569,26.3958,42
503,106.6065,26.4692,42
504,106.5365,26.3819,42
505,106.6168,26.4022,42
506,106.5413,26.3806,41
507,106.6067,26.469,41
508,106.6533,26.6211,41
509,106.4759,26.3627,41
510,106.5605,26.3982,41
511,106.5429,26.3806,41
512,106.5377,26.3786,41
513,106.5566,26.3962,41
514,106.6528,26.6488,41
515,106.5072,26.3543,41
516,106.6108,26.6216,41
517,106.5651,26.4199,41
518,106.5463,26.3923,40
519,106.4801,26.3579,40
520,106.6387,26.6071,40
521,106.6184,26.3899,40
522,106.6352,26.3804,40
523,106.6474,26.6264,40
524,106.6194,26.41,39
525,106.5214,26.3814,39
526,106.6088,26.4724,39
527,106.6068,26.4689,39
528,106.6648,26.4124,39
529,106.5424,26.3812,39
530,106.6875,26.3356,39
531,106.6225,26.4043,39
532,106.6229,26.4036,39
533,106.5583,26.3946,39
534,106.4843,26.547,39
535,106.646,26.6233,38
536,106.6536,26.4175,38
537,106.6867,26.3378,38
538,106.6252,26.6888,38
539,106.6528,26.6492,38
540,106.7097,26.5454,38
541,106.657,26.7244,38
542,106.4831,26.5456,38
543,106.5564,26.395,38
544,106.5371,26.3792,38
545,106.6858,26.3402,38
546,106.6649,26.3681,38
547,106.5564,26.391,38
548,106.5372,26.3787,37
549,106.5573,26.3956,37
550,106.6524,26.6872,37
551,106.5563,26.3952,37
552,106.6528,26.6491,37
553,106.4797,26.3582,37
554,106.606,26.4693,37
555,106.5411,26.3802,37
556,106.6622,26.4323,37
557,106.5371,26.3789,37
558,106.558,26.3946,37
559,106.4819,26.5462,37
560,106.6065,26.4691,37
561,106.6222,26.4028,36
562,106.4711,26.3852,36
563,106.4797,26.3577,36
564,106.6198,26.3985,36
565,106.4754,26.3621,36
566,106.6649,26.5771,36
567,106.6455,26.6236,36
568,106.654,26.413,35
569,106.4888,26.447,35
570,106.5073,26.3541,35
571,106.6455,26.6231,35
572,106.6529,26.65,35
573,106.6862,26.3382,35
574,106.5409,26.3801,35
575,106.6551,26.6868,35
576,106.5581,26.4068,35
577,106.6649,26.5766,35
578,106.6814,26.3398,35
579,106.6599,26.6226,35
580,106.4824,26.5456,34
581,106.5429,26.3808,34
582,106.4798,26.3577,34
583,106.5401,26.4094,34
584,106.6531,26.6512,34
585,106.4799,26.357,34
586,106.5425,26.41,34
587,106.6528,26.649,34
588,106.5569,26.3963,34
