wkday,hr,value,road,veh_series,avgTrpODO_km,avgTrpTime_min,avg_maxVhlSpd,avgEngSpd
7,23.5,1221,O,HS5,8.94,18.2,48.73,1043
2,23.5,1189,O,HS5,10.36,17.64,48.88,1064
5,6,1187,O,HS5,34.01,31.98,63.17,1149
6,6,1186,O,HS5,46.5,37.71,63.7,1140
7,6,1180,O,HS5,34.98,34.29,62.24,1146
3,6,1129,O,HS5,28.79,32.19,61.18,1134
5,23.5,1100,O,HS5,9.32,17.81,46.4,1043
3,23.5,1099,O,HS5,13.88,17.94,48.81,1067
1,23.5,1097,O,HS5,11.28,18.44,49.16,1055
6,23.5,1090,O,HS5,10.02,19.92,49.57,1059
4,6,1071,O,HS5,35.17,33.55,65.76,1173
4,23.5,1041,O,HS5,10.74,18.1,47.56,1035
3,0.5,1015,O,HS5,7.02,17.81,45.09,984
1,6,993,O,HS5,45.04,33.92,60.6,1112
2,0.5,970,O,HS5,13.28,17.95,46.27,975
6,0.5,964,O,HS5,6.31,18.86,42.81,968
4,0.5,963,O,HS5,5.82,18.22,44.12,968
1,0.5,934,O,HS5,8.42,17.83,47.7,997
7,0.5,904,O,HS5,8.14,19.41,43.51,982
5,0.5,896,O,HS5,4.53,17.61,43.48,968
6,1,828,O,HS5,6.4,17.55,42.51,977
4,1,819,O,HS5,5.67,17.49,41.2,959
3,11.5,817,G,HS5,39.61,25.47,58.27,1130
3,1,810,O,HS5,7.8,15.5,41.57,973
7,1,791,O,HS5,10.49,18.03,44.69,988
6,11.5,784,G,HS5,29.02,31.03,57.02,1118
2,11,778,G,HS5,29.5,25.93,48.49,1058
3,15.5,773,G,HS5,36.81,34.81,56.78,1111
3,16.5,759,G,HS5,23.12,29.64,52.2,1082
5,1,756,O,HS5,5.42,17.29,43.37,989
2,12,755,G,HS5,36,26.69,54.34,1100
7,1.5,753,O,HS5,6.93,17.96,43.68,967
2,1,749,O,HS5,14.75,16.24,43.42,985
1,1,744,O,HS5,9.52,17.06,43.19,996
2,17,731,G,HS5,31.08,30.68,53.83,1069
4,10.5,730,G,HS5,44.88,28.77,55.78,1099
3,16,730,G,HS5,25.88,34.75,53.68,1073
3,17,724,G,HS5,28.81,29.49,53.55,1080
5,10,724,G,HS5,20.54,27.9,50.06,1069
2,18,722,G,HS5,50.67,27.35,55.37,1094
6,5.5,721,O,HS5,31.37,33.31,59.26,1111
2,17.5,718,G,HS5,35.67,30.53,53.43,1081
2,18,717,S,HS5,28.25,23.52,54.19,1088
2,11.5,715,G,HS5,19.36,22.22,49.61,1063
2,16,709,G,HS5,35.6,34.28,59.1,1099
2,16.5,708,G,HS5,32.02,30.44,54.84,1084
