road,value,avgVhlSpd,mileage_km,vin
O,34542,34.92,5658.38,LFB1E6079KJB04451
O,34510,23.27,3020.91,LFB1E667XKJB01808
O,34420,31.67,3903.54,LFB1E6678KJB05033
G,34382,64.38,6167.23,LFB1E6070KJB04290
O,34381,26.83,2498.74,LFB1E667XKJB02957
O,34367,28.98,2813.16,LFB1E6070KJB06234
O,34357,35.26,3552.74,LFB1E6678KJB04884
O,34276,32.21,3414.72,LFB1E6676KJB06889
O,34242,14.79,1402.16,LFB1E6678KJB03430
O,34242,29.39,2692.52,LFB1E6679KJB03629
O,34165,31.96,3487.64,LFB1E6674KJB02162
O,34153,29.06,2915.93,LFB1E6074KJB06656
O,34101,40.15,13243.96,LFB1E6071KJB06209
O,34101,28.67,3005.01,LFB1E6075KJB06505
O,34091,32.43,6133.13,LFB1E607XKJB04247
G,34069,49.43,10378.45,LFB1E6073KJB04266
O,34045,25.73,2517.8,LFB1E6073KJB04803
O,34022,28.14,2595.92,LFB1E6077KJB02245
O,34019,33.4,3682.54,LFB1E667XKJB01064
O,33943,30.17,3366.76,LFB1E6670KJB06564
O,33897,30.05,2742.69,LFB1E6672KJB03620
O,33863,39.3,4680.64,LFB1E6673KJB04193
G,33850,111.78,10484.17,LFB1E6071KJB00510
O,33829,29.92,2705.92,LFB1E607XKJB05866
O,33786,30.47,3066.39,LFB1E6074KJB04339
O,33761,23.56,2109.61,LFB1E667XKJB04529
O,33695,26.87,2365.6,LFB1E6072KJB08342
O,33690,40.56,3816.96,LFB1E6677KJB09414
O,33688,25.87,2375.47,LFB1E6076KJB05282
O,33684,28.58,2739.3,LFB1E607XKJB03745
O,33674,23.58,2275.82,LFB1E6674KJB06468
O,33669,35.03,3215.74,LFB1E6074KJB05720
O,33647,38.75,5377.63,LFB1E6073KJB03909
O,33640,32.95,14952.67,LFB1E6077KJB06750
O,33618,30.04,2794.45,LFB1E6073KJB06390
O,33614,34.85,3245.71,LFB1E6679KJB06241
O,33603,28.85,10816.07,LFB1E6678KJB02343
O,33592,31.54,2929.69,LFB1E6677KJB07985
O,33573,30.43,2750.45,LFB1E6677KJB07176
O,33393,33.86,4178.39,LFB1E6074KJB00582
O,33374,23.22,2537.09,LFB1E6076KJB05444
O,33343,33.47,2982.09,LFB1E6673KJB05148
O,33332,22.58,2017.48,LFB1E607XKJB04233
O,33315,31.52,3815.52,LFB1E6674KJB05692
O,33307,31.5,15523.57,LFB1E6676KJB06942
O,33272,37.14,5674.18,LFB1E6071KJB04802
O,33269,35,4253.55,LFB1E6676KJB06844
O,33267,21.81,2103.15,LFB1E6075KJB05614
O,33254,22.63,2881.81,LFB1E6678KJB03931
O,33252,30.63,2732.56,LFB1E6079KJB04028
O,33242,28.1,3361.13,LFB1E6075KJB05757
O,33237,27.66,2512.79,LFB1E6679KJB06000
O,33203,35.64,3289.74,LFB1E6671KJB06847
O,33163,25.5,2504.93,LFB1E6673KJB03772
O,33153,30.05,2636.05,LFB1E667XKJB05521
O,33136,30.19,2730.69,LFB1E6075KJB04883
O,33101,37.16,4475.56,LFB1E6675KJB03935
O,33067,30.25,3643.55,LFB1E6074KJB05250
O,33046,33.74,2837.69,LFB1E667XKJB02201
O,33038,28.82,3254.65,LFB1E6675KJB09590
O,33037,24.85,2198.72,LFB1E6677KJB05539
O,33009,32.13,5246.69,LFB1E607XKJB05219
O,32997,28.91,2787.9,LFB1E6670KJB05558
O,32988,28.74,2523.32,LFB1E6076KJB05508
O,32978,33.4,5420.21,LFB1E6675KJB00694
O,32890,28.12,3461.9,LFB1E6678KJB05212
O,32827,32.72,3096.4,LFB1E6075KJB04303
O,32817,30.89,3395.07,LFB1E667XKJB04983
G,32817,41.59,3682.6,LFB1E6679KJB02884
O,32812,32.77,8317.5,LFB1E6671KJB05004
O,32792,27.41,11879.14,LFB1E6078KJB04053
O,32781,31.5,11530.77,LFB1E6670KJB05480
O,32764,28.61,2586.81,LFB1E6073KJB05756
O,32698,75.64,6588.87,LFB1E607XKJB04278
O,32698,26.9,4601.37,LFB1E6674KJB04882
O,32682,29.76,3050.76,LFB1E607XKJB00585
O,32631,30.5,3099.2,LFB1E6676KJB04298
O,32621,35.47,3581.82,LFB1E6074KJB06673
O,32618,31.56,10619.18,LFB1E6074KJB06866
G,32571,61.31,5411.74,LFB1E6671KJB05228
O,32562,29.12,4323.23,LFB1E6677KJB03516
O,32550,33.25,9200.99,LFB1E6677KJB08778
O,32525,38.98,4227.81,LFB1E6077KJB03833
O,32490,33.46,3179.04,LFB1E6673KJB08857
O,32446,27.5,2367.39,LFB1E6673KJB07708
O,32416,28.99,8293.03,LFB1E6075KJB04480
O,32404,30.15,7137.35,LFB1E6079KJB07317
O,32390,20.82,1806.02,LFB1E6071KJB03357
O,32379,25.52,5542.19,LFB1E6676KJB07864
O,32372,28.17,2543.48,LFB1E6078KJB06742
O,32368,33.72,4685.53,LFB1E6677KJB05640
O,32352,28.68,3345.35,LFB1E6670KJB04068
O,32348,35.36,2986.48,LFB1E6672KJB02919
O,32337,32.52,5194.16,LFB1E6072KJB00547
O,32333,28.86,2701.66,LFB1E6673KJB04257
O,32320,39.64,7242.78,LFB1E6679KJB09074
O,32299,31.57,3869.28,LFB1E6071KJB06839
O,32294,35.01,3581.75,LFB1E6077KJB06196
O,32285,41.71,4276.79,LFB1E6677KJB07713
S,32265,50.28,4898,LFB1E6076KJB03676
O,32255,29.36,2946.97,LFB1E6075KJB05659
O,32220,28.05,2686.5,LFB1E6071KJB07134
O,32218,31.86,2785.83,LFB1E6676KJB02390
O,32213,26.19,2171.84,LFB1E6678KJB04920
O,32199,24.71,2441.5,LFB1E6679KJB04635
G,32130,76.19,6798.05,LFB1E6070KJB02703
O,32122,30.06,3647.64,LFB1E6673KJB03979
O,32115,29.08,10212.51,LFB1E6676KJB04995
O,32093,39.52,4210.6,LFB1E6672KJB06131
O,32086,23.17,18814.09,LFB1E6678KJB04710
O,32009,30.09,4119.79,LFB1E6670KJB05396
O,31997,39.59,3394.15,LFB1E6670KJB02644
O,31994,21.59,9283.22,LFB1E6073KJB07202
O,31987,33.99,4842.6,LFB1E6679KJB03727
O,31963,25.5,2246.05,LFB1E6675KJB03417
O,31926,33.57,11826.75,LFB1E6076KJB05413
O,31923,25.06,4716.42,LFB1E607XKJB04636
O,31908,24.07,6282.31,LFB1E6073KJB04767
O,31898,31.34,5057.86,LFB1E6673KJB05201
