name,value,position,veh_series,avgOStime_min,avgOSmileage_km,vin
0~50%,10,inside,HS5,4.22,7.4,LFB1E6075KJB14135
50%+,1,inside,HS5,13.33,25,LFB1E6073KJB05028
0~50%,31,inside,HS5,2.02,3.87,LFB1E6076KJB04990
50%+,2,inside,HS5,31.08,62.5,LFB1E6673KJB03836
0~50%,12,inside,HS5,5.07,18.83,LFB1E6075KJB06245
0~50%,85,inside,HS5,4.25,7.59,LFB1E6075KJB12644
50%+,2,inside,HS5,27.5,52.5,LFB1E6076KJB10711
0~50%,10,inside,HS5,6.65,12.1,LFB1E667XKJB15577
0~50%,72,inside,HS5,2.93,5.21,LFB1E6674KJB06308
0~50%,79,inside,HS5,8.85,16.14,LFB1E6074KJB04518
0~50%,26,inside,HS5,2.17,4.77,LFB1E6676KJB03300
0~50%,52,inside,HS5,4.63,8.15,LFB1E6674KJB04817
50%+,8,inside,HS5,22.47,43,LFB1E6076KJB02821
50%+,1,inside,HS5,0.17,0,LFB1E6673KJB04498
50%+,1,inside,HS5,46.68,93,LFB1E6074KJB06351
0~50%,65,inside,HS5,8.18,14.6,LFB1E6672KJB08347
0~50%,89,inside,HS5,9.29,16.72,LFB1E6674KJB05479
0~50%,3,inside,HS5,2,3,LFB1E6674KJB11878
0~50%,47,inside,HS5,5.69,10.15,LFB1E6075KJB13731
0~50%,40,inside,HS5,11.58,20.95,LFB1E6675KJB10125
0~50%,31,inside,HS5,2.86,5.39,LFB1E6075KJB07332
0~50%,19,inside,HS5,28.68,53.63,LFB1E6075KJB05841
0~50%,1,inside,HS5,0.27,0,LFB1E6670KJB16785
0~50%,3,inside,HS5,0.56,1,LFB1E6077KJB10863
0~50%,45,inside,HS5,3.88,7.78,LFB1E6674KJB05904
50%+,1,inside,HS5,10.17,19,LFB1E6073KJB13176
0~50%,51,inside,HS5,7.75,14.73,LFB1E667XKJB08774
0~50%,22,inside,HS5,14.7,25.86,LFB1E6673KJB09670
0~50%,34,inside,HS5,8.79,15.68,LFB1E6672KJB09434
0~50%,1,inside,HS5,0.33,0,LFB1E6674KJB08057
0~50%,74,inside,HS5,3.86,6.99,LFB1E6672KJB15833
0~50%,2,inside,HS5,2.08,4,LFB1E6674KJB12965
50%+,1,inside,HS5,28.25,58,LFB1E6073KJB07202
0~50%,4,inside,HS5,13.83,24.5,LFB1E6673KJB12729
0~50%,7,inside,HS5,14.79,29.14,LFB1E6671KJB07707
0~50%,8,inside,HS5,22.15,41.38,LFB1E6074KJB04776
0~50%,17,inside,HS5,4.81,8.41,LFB1E6077KJB07042
0~50%,4,inside,HS5,2.63,4.5,LFB1E6675KJB11212
0~50%,29,inside,HS5,5.41,9.69,LFB1E6678KJB02181
50%+,1,inside,HS5,8.17,17,LFB1E6679KJB13206
0~50%,10,inside,HS5,2.52,4.3,LFB1E6077KJB11950
0~50%,36,inside,HS5,1.2,1.94,LFB1E6670KJB09982
50%+,2,inside,HS5,0.59,0,LFB1E6673KJB08163
0~50%,17,inside,HS5,3.71,6.47,LFB1E667XKJB09861
50%+,1,inside,HS5,5.5,10,LFB1E6670KJB09304
0~50%,156,inside,HS5,4.69,8.53,LFB1E6671KJB08369
0~50%,5,inside,HS5,1.1,1.6,LFB1E6674KJB17034
0~50%,1,inside,HS5,0.33,0,LFB1E6671KJB14768
0~50%,18,inside,HS5,1.13,1.94,LFB1E6075KJB09081
0~50%,46,inside,HS5,2.57,4.39,LFB1E6674KJB09144
0~50%,12,inside,HS5,4.31,7.25,LFB1E6675KJB10383
0~50%,36,inside,HS5,20.59,42.36,LFB1E6074KJB07354
0~50%,3,inside,HS5,1.78,0,LFB1E6074KJB05863
0~50%,1,inside,HS5,0.17,0,LFB1E6673KJB13816
0~50%,14,inside,HS5,7.41,12.57,LFB1E6673KJB07417
0~50%,14,inside,HS5,4.65,8.21,LFB1E6076KJB10885
0~50%,39,inside,HS5,23.59,41.69,LFB1E6677KJB03032
0~50%,1,inside,HS5,0.17,1,LFB1E6671KJB17346
0~50%,6,inside,HS5,0.44,1.17,LFB1E6671KJB09456
0~50%,9,inside,HS5,3.22,5.44,LFB1E6072KJB17848
0~50%,27,inside,HS5,3.14,5.41,LFB1E6673KJB06588
0~50%,4,inside,HS5,0.22,0.5,LFB1E6077KJB01807
0~50%,12,inside,HS5,3.94,6.58,LFB1E6679KJB09799
0~50%,71,inside,HS5,1.85,3.62,LFB1E6670KJB07729
50%+,2,inside,HS5,56.42,118,LFB1E6078KJB16834
0~50%,24,inside,HS5,2.53,5.08,LFB1E6078KJB12086
