acc,category,value
-0.62,AY,143760
-0.62,AX,135017
-0.6,AY,76159
-0.6,AX,72980
-0.57,AY,163688
-0.57,AX,158699
-0.54,AY,276795
-0.54,AX,179685
-0.52,AY,209863
-0.52,AX,206448
0.52,AY,258434
0.52,AX,241699
0.54,AY,343445
0.54,AX,228996
0.57,AY,205398
0.57,AX,217618
0.6,AY,96098
0.6,AX,104605
0.62,AY,180765
0.62,AX,203370
0.65,AY,165587
0.65,AX,194419
0.68,AY,226430
0.68,AX,185319
0.71,AY,69850
0.71,AX,88227
0.73,AY,133076
0.73,AX,169478
0.76,AY,123097
0.76,AX,159315
0.79,AY,114115
0.79,AX,149048
0.81,AY,53824
0.81,AX,70423
0.84,AY,151195
0.84,AX,135468
0.87,AY,93011
0.87,AX,127043
0.9,AY,87563
0.9,AX,119236
0.92,AY,41985
0.92,AX,56943
0.95,AY,79636
0.95,AX,108040
0.98,AY,110963
0.98,AX,101843
1,AY,34897
1,AX,48276
1.03,AY,66995
1.03,AX,91870
1.06,AY,63761
1.06,AX,86362
1.09,AY,60265
1.09,AX,80669
1.11,AY,56888
1.11,AX,38094
1.14,AY,54860
1.14,AX,72860
1.17,AY,51565
1.17,AX,67285
1.19,AY,49393
1.19,AX,62733
1.22,AY,23905
1.22,AX,29678
1.25,AY,67931
1.25,AX,56097
1.28,AY,42700
1.28,AX,52574
1.3,AY,40694
1.3,AX,48599
1.33,AY,19537
1.33,AX,22893
1.36,AY,37738
1.36,AX,43317
1.38,AY,53529
1.38,AX,40247
1.41,AY,33370
1.41,AX,37696
1.44,AY,16268
1.44,AX,18053
1.46,AY,31456
1.46,AX,33986
1.49,AY,30179
1.49,AX,31983
1.52,AY,14659
1.52,AX,15067
1.55,AY,42034
1.55,AX,28731
1.57,AY,26453
1.57,AX,27104
1.6,AY,25350
1.6,AX,25211
1.63,AY,12296
1.63,AX,12080
1.65,AY,23911
1.65,AX,22773
1.68,AY,33548
1.68,AX,21364
1.71,AY,21229
1.71,AX,20069
1.74,AY,10254
1.74,AX,9431
1.76,AY,19982
1.76,AX,18166
1.79,AY,19101
1.79,AX,17019
1.82,AY,27613
1.82,AX,15875
1.84,AY,8810
1.84,AX,7476
1.87,AY,16840
1.87,AX,14273
1.9,AY,16374
1.9,AX,13158
1.93,AY,7721
1.93,AX,6167
1.95,AY,22742
1.95,AX,11719
1.98,AY,14298
1.98,AX,10689
2.01,AY,13563
2.01,AX,10001
2.03,AY,6685
2.03,AX,4573
2.06,AY,12840
2.06,AX,8784
2.09,AY,18319
2.09,AX,8043
2.12,AY,11475
2.12,AX,7482
2.14,AY,5632
2.14,AX,3498
2.17,AY,10871
2.17,AX,6651
2.2,AY,10295
2.2,AX,6256
2.22,AY,14718
2.22,AX,5515
2.25,AY,4619
2.25,AX,2665
2.28,AY,8723
2.28,AX,4913
2.31,AY,8568
2.31,AX,4565
2.33,AY,8238
2.33,AX,4334
2.36,AY,3947
2.36,AX,2010
2.39,AY,11301
2.39,AX,3834
2.41,AY,7200
2.41,AX,3596
2.44,AY,3444
2.44,AX,1628
2.47,AY,6611
2.47,AX,3154
2.5,AY,6273
2.5,AX,2923
2.52,AY,8799
2.52,AX,2735
2.55,AY,2710
2.55,AX,1340
2.58,AY,5582
2.58,AX,2577
2.6,AY,5131
2.6,AX,2419
2.63,AY,4998
2.63,AX,2163
2.66,AY,4604
2.66,AX,1045
2.69,AY,4377
2.69,AX,2024
2.71,AY,4281
2.71,AX,1880
2.74,AY,4069
2.74,AX,1783
2.77,AY,1937
2.77,AX,861
2.79,AY,5631
2.79,AX,1628
2.82,AY,3383
2.82,AX,1513
2.85,AY,3388
2.85,AX,1371
2.88,AY,1593
2.88,AX,696
2.9,AY,3057
2.9,AX,1282
2.93,AY,4247
2.93,AX,1203
2.96,AY,1356
2.96,AX,594
2.98,AY,2618
2.98,AX,1076
3.01,AY,2485
3.01,AX,959
3.04,AY,2320
3.04,AX,933
3.07,AY,1167
3.07,AX,482
3.09,AY,3257
3.09,AX,880
3.12,AY,2073
3.12,AX,819
3.15,AY,1886
3.15,AX,764
3.17,AY,962
3.17,AX,326
3.2,AY,1767
3.2,AX,676
3.23,AY,2562
3.23,AX,565
3.26,AY,1594
3.26,AX,540
3.28,AY,757
3.28,AX,239
3.31,AY,1487
3.31,AX,456
3.34,AY,1319
3.34,AX,446
3.36,AY,1991
3.36,AX,400
3.39,AY,640
3.39,AX,180
3.42,AY,1230
3.42,AX,344
3.45,AY,1168
3.45,AX,332
3.47,AY,573
3.47,AX,135
3.5,AY,1580
3.5,AX,312
3.53,AY,1019
3.53,AX,292
3.55,AY,928
3.55,AX,230
3.58,AY,449
3.58,AX,122
3.61,AY,815
3.61,AX,233
3.64,AY,878
3.64,AX,201
3.66,AY,1176
3.66,AX,182
3.69,AY,397
3.69,AX,92
3.72,AY,751
3.72,AX,169
3.74,AY,629
3.74,AX,152
3.77,AY,615
3.77,AX,147
3.8,AY,627
3.8,AX,64
3.82,AY,610
3.82,AX,124
3.85,AY,563
3.85,AX,117
3.88,AY,281
