veh_series,road,HiBeam,LowBeam,top,vin
HS5,G,0.54,0,0.54,LFB1E6075KJB16659
HS5,G,0,0,0,LFB1E6070KJB12373
HS5,G,0,20,20,LFB1E6077KJB11284
HS5,G,0,50,50,LFB1E6074KJB12683
HS5,G,10.64,82.44,93.08,LFB1E6679KJB03162
HS5,G,12.5,62.5,75,LFB1E6074KJB14644
HS5,G,0,92.86,92.86,LFB1E6673KJB12844
HS5,G,9.98,81.32,91.3,LFB1E6672KJB07926
HS5,G,0,72.29,72.29,LFB1E6674KJB01738
HS5,G,15.57,56.73,72.3,LFB1E6075KJB06312
HS5,G,0,0,0,LFB1E6673KJB13797
HS5,G,0,100,100,LFB1E667XKJB17183
HS5,G,0,68.89,68.89,LFB1E6075KJB07265
HS5,G,2.42,55.23,57.65,LFB1E6079KJB06622
HS5,G,0,50,50,LFB1E6076KJB14144
HS5,G,7.78,40.93,48.71,LFB1E6678KJB04822
HS5,G,12.28,69.74,82.02,LFB1E667XKJB02862
HS5,G,37.66,72.8,110.46,LFB1E667XKJB04823
HS5,G,0,100,100,LFB1E6073KJB15543
HS5,G,8.78,85.72,94.5,LFB1E6672KJB13743
HS5,G,20.99,61.79,82.78,LFB1E6074KJB05250
HS5,G,13.04,83.3,96.34,LFB1E6671KJB08825
HS5,G,100,100,200,LFB1E6073KJB16496
HS5,G,0,77.79,77.79,LFB1E6074KJB07211
HS5,G,0.04,81.13,81.17,LFB1E6078KJB05560
HS5,G,49.59,93.54,143.13,LFB1E6672KJB14696
HS5,G,0,0,0,LFB1E6670KJB06810
HS5,G,62.82,94.61,157.43,LFB1E6677KJB03760
HS5,G,33.33,33.33,66.66,LFB1E6075KJB13082
HS5,G,31.93,88.13,120.06,LFB1E6075KJB15043
HS5,G,5.45,27.84,33.29,LFB1E6677KJB05721
HS5,G,26.33,67.09,93.42,LFB1E6078KJB08474
HS5,G,46.51,89.42,135.93,LFB1E6671KJB12681
HS5,G,24.01,70.28,94.29,LFB1E6673KJB08325
HS5,G,0,68.9,68.9,LFB1E6675KJB02137
HS5,G,0,100,100,LFB1E6670KJB09724
HS5,G,21.92,63.85,85.77,LFB1E6073KJB08110
HS5,G,26.32,66.87,93.19,LFB1E6677KJB08635
HS5,G,3.57,45.83,49.4,LFB1E667XKJB11593
HS5,G,0.19,94.29,94.48,LFB1E6673KJB09278
HS5,G,2.62,84.72,87.34,LFB1E6675KJB12991
HS5,G,0.32,62.12,62.44,LFB1E6672KJB06310
HS5,G,96.48,96.59,193.07,LFB1E6678KJB15514
HS5,G,6.38,29.26,35.64,LFB1E6072KJB10205
HS5,G,0,68.6,68.6,LFB1E6073KJB09063
HS5,G,0,0,0,LFB1E6671KJB17556
HS5,G,0,80.52,80.52,LFB1E6677KJB09588
HS5,G,48.58,91.67,140.25,LFB1E6076KJB10515
HS5,G,21.53,67.47,89,LFB1E6673KJB12181
HS5,G,0,0,0,LFB1E6670KJB13580
HS5,G,0,33.33,33.33,LFB1E6073KJB11914
HS5,G,1.32,58.74,60.06,LFB1E6079KJB03946
HS5,G,3.67,79.48,83.15,LFB1E6072KJB13119
HS5,G,25.96,67.71,93.67,LFB1E6674KJB03036
HS5,G,1.1,22.63,23.73,LFB1E6079KJB04899
HS5,G,0.15,48.73,48.88,LFB1E6674KJB13890
HS5,G,31.62,36.53,68.15,LFB1E6070KJB04225
HS5,G,7.8,66.11,73.91,LFB1E6673KJB15095
HS5,G,0,3.95,3.95,LFB1E6071KJB11104
HS5,G,0,0,0,LFB1E6673KJB17056
HS5,G,0,0,0,LFB1E6077KJB13990
HS5,G,31.78,69.72,101.5,LFB1E6678KJB06120
HS5,G,59.5,80.17,139.67,LFB1E6671KJB08162
HS5,G,16.67,38.67,55.34,LFB1E6070KJB07139
HS5,G,1.52,46.3,47.82,LFB1E6672KJB13080
HS5,G,4.13,36.79,40.92,LFB1E6074KJB05488
HS5,G,0,63.89,63.89,LFB1E6679KJB11178
HS5,G,3.41,19.38,22.79,LFB1E6078KJB04845
HS5,G,13.09,56.13,69.22,LFB1E6079KJB11724
HS5,G,40.46,94.26,134.72,LFB1E6073KJB02520
HS5,G,0,0,0,LFB1E6075KJB14328
HS5,G,2.13,78.18,80.31,LFB1E6071KJB09661
HS5,G,0,100,100,LFB1E6079KJB12677
HS5,G,36.32,87.13,123.45,LFB1E607XKJB08573
HS5,G,37.04,74.07,111.11,LFB1E6073KJB05434
HS5,G,0,2.78,2.78,LFB1E6076KJB16850
HS5,G,27.27,100,127.27,LFB1E6675KJB16250
HS5,G,22.89,58.28,81.17,LFB1E6673KJB11466
HS5,G,0,0,0,LFB1E6670KJB12865
HS5,G,9.5,35.23,44.73,LFB1E6676KJB04897
HS5,G,100,100,200,LFB1E6670KJB14826
HS5,G,0,100,100,LFB1E6671KJB02572
HS5,G,0,33.33,33.33,LFB1E6679KJB16560
HS5,G,27.38,69.68,97.06,LFB1E6671KJB04533
HS5,G,11.55,69.98,81.53,LFB1E6677KJB13737
HS5,G,0,0,0,LFB1E607XKJB18312
HS5,G,0,100,100,LFB1E6671KJB05486
HS5,G,23.15,72.22,95.37,LFB1E6079KJB08158
HS5,G,100,100,200,LFB1E6073KJB16126
HS5,G,13.9,80.16,94.06,LFB1E6675KJB06804
HS5,G,0,77.95,77.95,LFB1E6675KJB05796
HS5,G,1.41,62.3,63.71,LFB1E607XKJB04944
HS5,G,18.18,67.27,85.45,LFB1E6676KJB12675
HS5,G,0,14.44,14.44,LFB1E6673KJB04033
HS5,G,0,99.87,99.87,LFB1E6676KJB14636
HS5,G,39.64,71.4,111.04,LFB1E6670KJB05432
HS5,G,13.18,17.13,30.31,LFB1E607XKJB06905
HS5,G,0,100,100,LFB1E6675KJB09718
HS5,G,25.3,52.81,78.11,LFB1E6671KJB10350
HS5,G,0,90,90,LFB1E6672KJB15279
HS5,G,0,85.09,85.09,LFB1E6078KJB08104
HS5,G,29.17,60.3,89.47,LFB1E6670KJB06385
HS5,G,0.46,36.11,36.57,LFB1E6071KJB09899
HS5,G,0,6.83,6.83,LFB1E6675KJB10660
HS5,G,2.32,98.72,101.04,LFB1E6078KJB07096
HS5,G,2.23,48.7,50.93,LFB1E6677KJB06304
HS5,G,17.66,88.93,106.59,LFB1E6676KJB15589
HS5,G,0,2.11,2.11,LFB1E607XKJB09819
HS5,G,0,14.92,14.92,LFB1E667XKJB11223
HS5,G,4.69,51.95,56.64,LFB1E6674KJB07703
HS5,G,1.54,54.05,55.59,LFB1E6078KJB09057
HS5,G,22.7,69.62,92.32,LFB1E6070KJB06931
HS5,G,80.84,100,180.84,LFB1E6672KJB02919
HS5,G,7.95,61.31,69.26,LFB1E6678KJB12175
HS5,G,41.8,41.8,83.6,LFB1E6671KJB15225
HS5,G,14.62,60.54,75.16,LFB1E6078KJB11908
HS5,G,0,69.48,69.48,LFB1E6077KJB07803
